City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
nantucket,90.0,US,1622321577.0,88.0,41.2835,-70.0995,49.03,23.02
wiarton,20.0,CA,1622321577.0,33.0,44.7407,-81.1332,60.4,8.05
iqaluit,90.0,CA,1622321577.0,74.0,63.7506,-68.5145,29.93,21.85
dakar,20.0,SN,1622321302.0,88.0,14.6937,-17.4441,72.48,13.8
vanimo,100.0,PG,1622321578.0,90.0,-2.6741,141.3028,77.92,4.18
east london,42.0,ZA,1622321578.0,72.0,-33.0153,27.9116,61.2,22.3
lata,0.0,PT,1622321578.0,96.0,40.1629,-8.3327,65.05,2.98
pitrufquen,75.0,CL,1622321579.0,87.0,-38.9833,-72.65,50.02,3.44
xam nua,100.0,LA,1622321579.0,91.0,20.4197,104.0439,68.86,3.24
nouadhibou,0.0,MR,1622321579.0,88.0,20.931,-17.0347,66.18,24.16
hobart,75.0,AU,1622321580.0,78.0,-42.8794,147.3294,47.26,1.99
avarua,20.0,CK,1622321580.0,65.0,-21.2078,-159.775,77.05,3.44
adrar,100.0,MR,1622321580.0,10.0,20.5022,-10.0711,96.66,9.82
jennings,55.0,US,1622321581.0,66.0,38.7192,-90.2604,63.28,1.99
bluff,100.0,NZ,1622321581.0,87.0,-46.6,168.3333,49.8,21.05
alice springs,3.0,AU,1622321581.0,80.0,-23.7,133.8833,33.35,5.57
isangel,100.0,VU,1622321582.0,55.0,-19.55,169.2667,72.91,1.68
geneva,0.0,US,1622321582.0,32.0,41.8875,-88.3054,64.36,3.0
faya,100.0,SA,1622321582.0,38.0,18.3851,42.4509,69.91,1.39
ponta delgada,75.0,PT,1622321334.0,77.0,37.7333,-25.6667,65.12,8.05
arraial do cabo,0.0,BR,1622321583.0,74.0,-22.9661,-42.0278,80.56,8.05
saint george,1.0,US,1622321583.0,10.0,37.1041,-113.5841,95.47,1.01
arlit,30.0,NE,1622321583.0,6.0,18.7369,7.3853,94.68,13.11
bubaque,6.0,GW,1622321584.0,68.0,11.2833,-15.8333,79.03,19.95
natchez,40.0,US,1622321584.0,59.0,31.5604,-91.4032,78.24,6.91
umm kaddadah,30.0,SD,1622321584.0,11.0,13.6017,26.6876,92.03,11.18
kapaa,31.0,US,1622321585.0,66.0,22.0752,-159.319,81.48,1.99
atuona,12.0,PF,1622321585.0,72.0,-9.8,-139.0333,78.89,9.46
tuktoyaktuk,90.0,CA,1622321585.0,74.0,69.4541,-133.0374,30.2,6.91
sechura,66.0,PE,1622321586.0,67.0,-5.5569,-80.8222,75.7,12.91
tommot,88.0,RU,1622321586.0,70.0,58.9564,126.2925,51.46,1.88
savannah bight,10.0,HN,1622321586.0,76.0,16.45,-85.85,91.45,17.94
mount isa,1.0,AU,1622321587.0,43.0,-20.7333,139.5,51.57,8.05
yellowknife,40.0,CA,1622321587.0,37.0,62.456,-114.3525,53.33,5.01
tessalit,100.0,ML,1622321588.0,6.0,20.1986,1.0114,97.34,9.46
rapid valley,75.0,US,1622321588.0,57.0,44.0625,-103.1463,64.63,1.01
camacha,75.0,PT,1622321588.0,72.0,33.0833,-16.3333,65.16,14.97
mar del plata,40.0,AR,1622321350.0,56.0,-38.0023,-57.5575,48.22,7.0
gayny,47.0,RU,1622321589.0,93.0,60.3071,54.3241,51.62,5.01
luderitz,39.0,NA,1622321589.0,67.0,-26.6481,15.1594,60.3,14.76
cidreira,1.0,BR,1622321589.0,72.0,-30.1811,-50.2056,61.2,11.01
broome,100.0,US,1622321590.0,81.0,42.2506,-75.833,52.05,1.99
impfondo,96.0,CG,1622321590.0,93.0,1.6381,18.0667,72.84,0.85
marawi,100.0,PH,1622321560.0,94.0,7.9986,124.2928,69.66,1.28
acacoyagua,99.0,MX,1622321510.0,78.0,15.35,-92.65,81.88,4.27
port hedland,96.0,AU,1622321590.0,68.0,-20.3167,118.5667,69.85,5.75
worland,35.0,US,1622321591.0,39.0,44.0169,-107.9554,70.68,1.99
souillac,40.0,MU,1622321591.0,94.0,-20.5167,57.5167,75.58,7.09
ahipara,88.0,NZ,1622321591.0,76.0,-35.1667,173.1667,55.96,9.08
jamestown,90.0,US,1622321568.0,81.0,42.097,-79.2353,53.19,5.99
butaritari,100.0,KI,1622321592.0,79.0,3.0707,172.7902,82.42,15.05
ayan,88.0,RU,1622321592.0,93.0,56.45,138.1667,37.2,13.89
hithadhoo,38.0,MV,1622321592.0,71.0,-0.6,73.0833,83.62,18.07
hobyo,87.0,SO,1622321593.0,81.0,5.3505,48.5268,78.84,21.23
matane,1.0,CA,1622321506.0,53.0,48.8286,-67.522,51.22,4.9
kavaratti,87.0,IN,1622321593.0,76.0,10.5669,72.642,83.39,16.17
talnakh,96.0,RU,1622321593.0,98.0,69.4865,88.3972,26.15,3.33
tiksi,86.0,RU,1622321594.0,96.0,71.6872,128.8694,31.91,9.75
ust-koksa,3.0,RU,1622321594.0,75.0,50.2696,85.6108,41.54,1.72
kununurra,100.0,AU,1622321594.0,72.0,-15.7667,128.7333,57.18,3.44
lebu,73.0,CL,1622321595.0,68.0,-37.6167,-73.65,52.18,8.01
doha,0.0,QA,1622321488.0,27.0,25.2867,51.5333,93.18,4.61
hoquiam,1.0,US,1622321469.0,49.0,46.9809,-123.8893,73.92,8.05
severnyy-kospashskiy,95.0,RU,1622321595.0,80.0,59.0925,57.8008,55.6,6.06
zhangzhou,100.0,CN,1622321595.0,98.0,24.5133,117.6556,75.13,2.95
hervey bay,98.0,AU,1622321585.0,67.0,-25.2986,152.8535,56.03,14.74
port lincoln,1.0,AU,1622321596.0,69.0,-34.7333,135.8667,54.36,12.55
akyab,74.0,MM,1622321597.0,84.0,20.15,92.9,81.55,5.61
biak,75.0,ID,1622321597.0,85.0,-0.9131,122.8766,76.01,5.75
zheleznodorozhnyy,100.0,RU,1622321597.0,89.0,55.7503,38.0042,53.37,13.78
bengkulu,98.0,ID,1622321597.0,85.0,-3.8004,102.2655,75.52,2.95
tura,36.0,IN,1622321598.0,91.0,25.5198,90.2201,72.81,4.25
saldanha,12.0,ZA,1622321598.0,83.0,-33.0117,17.9442,53.65,8.01
kemijarvi,43.0,FI,1622321598.0,67.0,66.7131,27.4306,39.07,1.7
matagami,1.0,CA,1622321599.0,23.0,49.7502,-77.6328,57.31,3.13
lorengau,55.0,PG,1622321600.0,80.0,-2.0226,147.2712,81.97,12.71
acajutla,40.0,SV,1622321600.0,63.0,13.5928,-89.8275,91.8,6.73
aksarka,5.0,RU,1622321600.0,75.0,66.5606,67.7975,39.49,10.76
sobolevo,91.0,RU,1622321600.0,94.0,54.4299,31.8996,48.97,9.98
sarai,100.0,RU,1622321601.0,97.0,53.7458,41.0213,60.4,4.16
cukai,58.0,MY,1622321601.0,90.0,4.25,103.4167,75.34,3.91
meulaboh,100.0,ID,1622321601.0,86.0,4.1363,96.1285,76.96,3.18
lavrentiya,6.0,RU,1622321602.0,80.0,65.5833,-171.0,32.99,8.34
lundamo,5.0,NO,1622321602.0,69.0,63.1333,10.3,52.47,1.59
pevek,0.0,RU,1622321602.0,54.0,69.7008,170.3133,42.19,11.97
longyearbyen,75.0,SJ,1622321603.0,75.0,78.2186,15.6401,33.64,8.05
chifeng,100.0,CN,1622321370.0,43.0,42.2683,118.9636,59.02,6.96
san juan,100.0,AR,1622321603.0,38.0,-31.5375,-68.5364,70.74,8.81
epe,39.0,NG,1622321603.0,86.0,6.5841,3.9834,79.41,4.92
khor,100.0,RU,1622321604.0,83.0,47.8861,134.9464,51.94,4.0
lishu,93.0,CN,1622321604.0,64.0,43.3047,124.3278,55.99,9.82
dikson,36.0,RU,1622321604.0,97.0,73.5069,80.5464,16.92,4.81
qaanaaq,55.0,GL,1622321605.0,95.0,77.484,-69.3632,31.08,5.86
port macquarie,87.0,AU,1622321605.0,82.0,-31.4333,152.9167,52.9,14.29
sungairaya,100.0,ID,1622321605.0,87.0,0.7,108.9,77.97,3.31
corner brook,17.0,CA,1622321605.0,54.0,48.9667,-57.9484,57.36,5.1
villiers,1.0,ZA,1622321606.0,44.0,-27.0303,28.6006,46.71,5.37
pisco,90.0,PE,1622321606.0,82.0,-13.7,-76.2167,67.01,6.91
gamba,67.0,GA,1622321606.0,93.0,-2.65,10.0,76.44,4.92
husavik,100.0,IS,1622321607.0,61.0,66.0449,-17.3389,53.51,15.05
millinocket,86.0,US,1622321607.0,39.0,45.6573,-68.7098,62.62,6.44
shieli,7.0,KZ,1622321607.0,36.0,44.1667,66.75,78.01,6.35
nikolskoye,2.0,RU,1622321607.0,73.0,59.7035,30.7861,48.09,4.52
olafsvik,100.0,IS,1622321608.0,90.0,64.8945,-23.7142,44.49,30.18
sinnamary,76.0,GF,1622321608.0,84.0,5.3833,-52.95,79.9,9.91
kutum,36.0,SD,1622321608.0,11.0,14.2,24.6667,82.78,12.82
port alfred,99.0,ZA,1622321609.0,79.0,-33.5906,26.891,59.7,17.11
gonaives,25.0,HT,1622321609.0,58.0,19.45,-72.6833,82.38,9.13
ribeira grande,75.0,PT,1622321326.0,77.0,38.5167,-28.7,66.6,3.44
ereymentau,1.0,KZ,1622321609.0,42.0,51.6199,73.1033,57.38,12.3
gandu,100.0,BR,1622321610.0,79.0,-13.7439,-39.4867,72.0,2.89
bintulu,40.0,MY,1622321610.0,100.0,3.1667,113.0333,75.61,0.0
mungaa,58.0,TZ,1622321610.0,74.0,-4.9667,34.8833,60.96,6.69
russellville,40.0,US,1622321450.0,49.0,35.2784,-93.1338,71.08,8.05
mount gambier,5.0,AU,1622321606.0,100.0,-37.8333,140.7667,35.51,5.75
mandsaur,100.0,IN,1622321611.0,52.0,24.0667,75.0667,87.39,13.96
houston,1.0,US,1622320832.0,51.0,29.7633,-95.3633,92.41,3.0
millington,97.0,US,1622321425.0,76.0,35.3415,-89.8973,61.18,5.99
castro,43.0,BR,1622321611.0,69.0,-24.7911,-50.0119,67.93,6.85
zyryanka,0.0,RU,1622321612.0,47.0,65.75,150.85,52.36,23.04
bambous virieux,40.0,MU,1622321612.0,94.0,-20.3428,57.7575,75.45,5.46
yar-sale,71.0,RU,1622321612.0,77.0,66.8333,70.8333,45.45,10.87
victoria,96.0,HK,1622321613.0,89.0,22.2855,114.1577,85.96,15.01
anloga,95.0,GH,1622321613.0,79.0,5.7947,0.8973,84.42,9.93
kisangani,92.0,CD,1622321460.0,85.0,0.5167,25.2,73.8,1.66
avinurme,7.0,EE,1622321613.0,70.0,58.9822,26.8642,39.92,5.39
severo-kurilsk,100.0,RU,1622321614.0,87.0,50.6789,156.125,41.31,8.5
saskylakh,74.0,RU,1622321614.0,93.0,71.9167,114.0833,32.18,8.68
honningsvag,100.0,NO,1622321504.0,88.0,70.9821,25.9704,41.22,23.53
falmouth,98.0,GB,1622321614.0,100.0,50.1544,-5.0711,59.9,3.0
faanui,24.0,PF,1622321615.0,68.0,-16.4833,-151.75,79.72,6.29
mitsamiouli,4.0,KM,1622321615.0,73.0,-11.3847,43.2844,78.39,5.97
naze,100.0,JP,1622321615.0,90.0,28.3667,129.4833,65.23,3.56
requena,2.0,ES,1622321616.0,53.0,39.4883,-1.1004,64.18,4.36
floro,90.0,NO,1622321616.0,87.0,61.5996,5.0328,60.22,8.05
perth,75.0,AU,1622321562.0,96.0,-31.9333,115.8333,58.26,12.84
zhezkazgan,37.0,KZ,1622321616.0,50.0,47.8043,67.7144,69.33,6.26
bintawan,36.0,PH,1622321617.0,96.0,16.5759,121.1876,74.34,2.55
margate,1.0,GB,1622321617.0,79.0,51.3813,1.3862,54.3,1.99
yaan,54.0,NG,1622321617.0,67.0,7.3833,8.5667,82.47,7.65
beringovskiy,7.0,RU,1622321618.0,81.0,63.05,179.3167,32.9,10.54
halifax,100.0,CA,1622321519.0,90.0,44.6453,-63.5724,43.52,3.0
ketchikan,75.0,US,1622321469.0,58.0,55.3422,-131.6461,54.07,9.22
antofagasta,39.0,CL,1622321618.0,72.0,-23.65,-70.4,61.88,6.85
lagos,73.0,NG,1622321618.0,85.0,6.5833,3.75,84.52,4.72
irece,100.0,BR,1622321619.0,39.0,-11.3042,-41.8558,73.94,9.93
udachnyy,6.0,RU,1622321497.0,63.0,66.4167,112.4,52.66,5.97
kinablangan,100.0,PH,1622321619.0,84.0,7.6947,126.5503,78.69,3.96
murdochville,90.0,CA,1622321619.0,52.0,48.9583,-65.5006,41.88,3.94
byron bay,100.0,AU,1622321620.0,78.0,-28.65,153.6167,58.95,14.92
broken hill,25.0,AU,1622321620.0,80.0,-31.95,141.4333,31.71,0.0
hambantota,83.0,LK,1622321620.0,81.0,6.1241,81.1185,79.77,20.13
new norfolk,33.0,AU,1622321621.0,77.0,-42.7826,147.0587,46.92,3.47
kruisfontein,47.0,ZA,1622321347.0,89.0,-34.0033,24.7314,53.89,12.8
casa nova,31.0,BR,1622321621.0,39.0,-9.4167,-41.1333,85.98,10.67
raudeberg,17.0,NO,1622321621.0,87.0,61.9875,5.1352,53.2,6.35
kalispell,20.0,US,1622321622.0,45.0,48.1958,-114.3129,66.18,6.35
grand-bourg,94.0,GP,1622321622.0,67.0,15.8835,-61.3148,90.45,13.78
mingyue,5.0,CN,1622321622.0,94.0,43.1069,128.9217,45.48,2.59
avera,79.0,US,1622321423.0,27.0,33.194,-82.5271,86.68,15.43
saint-philippe,16.0,RE,1622321623.0,81.0,-21.3585,55.7679,69.35,4.7
koumac,67.0,NC,1622321623.0,62.0,-20.5667,164.2833,69.73,12.19
alofi,75.0,NU,1622321623.0,94.0,-19.0595,-169.9187,76.89,4.61
sitka,100.0,US,1622321624.0,80.0,57.0531,-135.33,50.0,6.13
general pico,78.0,AR,1622321624.0,46.0,-35.6566,-63.7568,50.27,4.56
olavarria,8.0,AR,1622321624.0,67.0,-36.8927,-60.3225,42.67,7.27
high rock,0.0,BS,1622321625.0,69.0,26.6208,-78.2833,84.22,10.2
lasa,6.0,IT,1622321625.0,90.0,46.6166,10.7002,58.08,6.11
quang ngai,57.0,VN,1622321625.0,81.0,15.1167,108.8,78.75,4.65
palmas,20.0,BR,1622321626.0,45.0,-10.2128,-48.3603,89.47,4.61
kudahuvadhoo,97.0,MV,1622321626.0,71.0,2.6708,72.8944,84.07,21.03
ornskoldsvik,36.0,SE,1622321627.0,87.0,63.2909,18.7153,51.62,4.05
puerto ayora,52.0,EC,1622321627.0,85.0,-0.7393,-90.3518,82.36,8.99
coquimbo,0.0,CL,1622321627.0,82.0,-29.9533,-71.3436,60.53,8.01
kushmurun,1.0,KZ,1622321628.0,33.0,52.4503,64.6311,65.43,9.42
anadyr,0.0,RU,1622321628.0,43.0,64.75,177.4833,48.7,2.1
mahebourg,40.0,MU,1622321628.0,94.0,-20.4081,57.7,75.49,2.3
the pas,90.0,CA,1622321628.0,71.0,53.8251,-101.2541,53.62,14.79
katsuura,98.0,JP,1622321629.0,86.0,35.1333,140.3,70.11,7.23
poum,81.0,NC,1622321629.0,64.0,-20.2333,164.0167,70.66,18.92
carnarvon,40.0,AU,1622321629.0,94.0,-24.8667,113.6333,59.07,8.05
dunedin,100.0,NZ,1622321546.0,96.0,-45.8742,170.5036,49.8,12.35
saqqez,0.0,IR,1622321630.0,23.0,36.2499,46.2735,61.54,5.26
kirakira,100.0,SB,1622321419.0,92.0,-10.4544,161.9205,76.73,5.01
chuy,37.0,UY,1622321469.0,60.0,-33.6971,-53.4616,50.05,13.71
nanortalik,100.0,GL,1622321630.0,87.0,60.1432,-45.2371,36.97,6.55
torbay,75.0,CA,1622321630.0,71.0,47.6666,-52.7314,48.88,13.8
charlestown,97.0,AU,1622321631.0,79.0,-32.95,151.6667,53.42,1.01
blackfoot,98.0,US,1622321631.0,27.0,43.1905,-112.345,70.36,3.09
cherskiy,15.0,RU,1622321631.0,39.0,68.75,161.3,54.16,13.82
zhuhai,20.0,CN,1622321632.0,89.0,22.2769,113.5678,85.71,12.33
tereze,82.0,RU,1622321632.0,91.0,43.9361,42.4434,59.5,7.27
tutoia,91.0,BR,1622321632.0,77.0,-2.7619,-42.2744,80.82,6.11
bati,24.0,ET,1622321633.0,27.0,11.1833,40.0167,72.12,4.74
angicos,18.0,BR,1622321597.0,44.0,-5.6656,-36.6011,84.58,16.84
thompson,75.0,CA,1622321633.0,82.0,55.7435,-97.8558,53.76,11.5
constitucion,100.0,CL,1622321509.0,68.0,-35.3333,-72.4167,56.57,11.88
kharp,21.0,RU,1622321633.0,77.0,66.8014,65.8081,36.14,6.42
port hardy,75.0,CA,1622321634.0,71.0,50.6996,-127.4199,53.78,3.44
zaysan,0.0,KZ,1622321634.0,50.0,47.4667,84.8667,54.81,5.86
guaraniacu,68.0,BR,1622321634.0,85.0,-25.1008,-52.8781,65.23,3.76
finschhafen,90.0,PG,1622321635.0,82.0,-6.6024,147.8681,78.71,6.96
taoudenni,33.0,ML,1622321635.0,7.0,22.6783,-3.9836,102.7,9.4
upernavik,100.0,GL,1622321635.0,92.0,72.7868,-56.1549,31.62,17.27
sangar,99.0,RU,1622321635.0,60.0,63.9242,127.4739,50.22,8.81
turukhansk,6.0,RU,1622321636.0,89.0,65.8167,87.9833,26.89,3.62
tilichiki,100.0,RU,1622321636.0,79.0,60.4667,166.1,40.1,6.04
la ronge,90.0,CA,1622321636.0,66.0,55.1001,-105.2842,46.65,12.66
catuday,95.0,PH,1622321637.0,77.0,16.2923,119.8062,82.92,5.84
ostrovnoy,100.0,RU,1622321510.0,79.0,68.0531,39.5131,35.13,16.04
olecko,10.0,PL,1622321637.0,95.0,54.0337,22.507,44.42,7.07
hanzhong,74.0,CN,1622321637.0,87.0,33.0728,107.0303,65.08,1.57
vung tau,71.0,VN,1622321638.0,82.0,10.346,107.0843,81.75,7.65
ajaccio,91.0,FR,1622321638.0,88.0,42.0,8.9167,59.16,1.99
mokhsogollokh,29.0,RU,1622321638.0,69.0,61.4681,128.9203,54.64,7.67
olinda,40.0,BR,1622321639.0,69.0,-8.0089,-34.8553,78.53,11.05
maralal,95.0,KE,1622321639.0,79.0,1.0968,36.698,59.25,4.54
zilair,83.0,RU,1622321639.0,52.0,52.2332,57.4392,60.04,6.2
kodinsk,100.0,RU,1622321640.0,90.0,58.6881,99.1844,33.31,5.7
kupang,98.0,ID,1622321640.0,85.0,-10.1667,123.5833,72.88,7.94
wageningen,17.0,NL,1622321640.0,84.0,51.9667,5.6667,55.78,7.85
paramonga,86.0,PE,1622321641.0,85.0,-10.6667,-77.8333,66.56,7.54
varkaus,7.0,FI,1622321641.0,64.0,62.3153,27.873,41.31,4.85
kasamwa,100.0,TZ,1622321641.0,65.0,-2.85,32.4333,71.91,2.28
half moon bay,75.0,US,1622321641.0,75.0,37.4636,-122.4286,77.88,12.66
lagoa,33.0,PT,1622321374.0,79.0,39.05,-27.9833,63.54,7.31
altay,0.0,CN,1622321642.0,47.0,47.8667,88.1167,55.31,3.85
inirida,73.0,CO,1622321553.0,89.0,3.8653,-67.9239,82.06,2.19
veraval,92.0,IN,1622321643.0,81.0,20.9,70.3667,82.76,10.67
nagato,20.0,JP,1622321643.0,62.0,34.3833,131.2,60.71,4.54
qingdao,0.0,CN,1622321643.0,88.0,36.0986,120.3719,60.4,8.05
bilma,45.0,NE,1622321643.0,7.0,18.6853,12.9164,92.7,6.58
belaya gora,0.0,RU,1622321644.0,41.0,68.5333,146.4167,54.54,17.98
lambarene,100.0,GA,1622321644.0,93.0,-0.7001,10.2406,77.09,3.13
gat,0.0,IL,1622321644.0,100.0,31.61,34.7642,72.39,2.33
livani,15.0,LV,1622321645.0,81.0,56.3543,26.1758,44.51,7.52
havre-saint-pierre,1.0,CA,1622321645.0,54.0,50.2334,-63.5986,52.16,20.71
imuris,32.0,MX,1622321645.0,7.0,30.7833,-110.8667,92.03,17.22
san quintin,1.0,MX,1622321646.0,65.0,30.4833,-115.95,65.35,21.85
havoysund,100.0,NO,1622321646.0,91.0,70.9963,24.6622,41.88,25.26
kavieng,98.0,PG,1622321563.0,81.0,-2.5744,150.7967,82.02,16.49
akdepe,2.0,TM,1622321646.0,18.0,42.0551,59.3788,82.4,10.96
vila velha,0.0,BR,1622321647.0,75.0,-20.3297,-40.2925,82.35,4.0
codrington,7.0,AU,1622321647.0,95.0,-38.2667,141.9667,39.47,6.49
zhigansk,1.0,RU,1622321647.0,51.0,66.7697,123.3711,50.52,8.88
artyom,0.0,AZ,1622321647.0,85.0,40.4723,50.333,64.54,11.97
hoi an,92.0,VN,1622321430.0,82.0,15.8794,108.335,82.36,6.08
sayat,0.0,TM,1622321648.0,15.0,38.7839,63.8803,84.07,10.42
bar harbor,90.0,US,1622321648.0,68.0,44.3876,-68.2039,53.53,5.01
vila franca do campo,52.0,PT,1622321648.0,82.0,37.7167,-25.4333,64.81,5.39
juneau,90.0,US,1622321391.0,92.0,58.3019,-134.4197,50.22,3.0
sept-iles,20.0,CA,1622321649.0,60.0,50.2001,-66.3821,51.26,1.01
yichang,98.0,CN,1622321649.0,86.0,30.7144,111.2847,69.17,1.07
siloam springs,0.0,US,1622321649.0,62.0,36.1881,-94.5405,69.19,7.87
san luis,75.0,AR,1622321650.0,47.0,-33.295,-66.3356,55.67,3.2
guerrero negro,58.0,MX,1622321553.0,62.0,27.9769,-114.0611,67.75,20.24
ulladulla,87.0,AU,1622321650.0,70.0,-35.35,150.4667,52.88,12.1
sao filipe,8.0,CV,1622321650.0,77.0,14.8961,-24.4956,73.71,14.12
la asuncion,5.0,VE,1622321467.0,58.0,11.0333,-63.8628,87.53,16.55
bhag,0.0,PK,1622321651.0,9.0,29.0415,67.8239,97.59,5.01
longonjo,41.0,AO,1622321651.0,42.0,-12.9067,15.2533,59.49,1.74
tombouctou,1.0,ML,1622321651.0,9.0,20.0,-3.0,97.12,12.1
tabuk,25.0,PH,1622321652.0,89.0,17.4189,121.4443,77.07,0.96
tayoltita,24.0,MX,1622321652.0,22.0,24.0833,-105.9333,92.07,8.75
kushima,100.0,JP,1622321652.0,76.0,31.4583,131.2333,65.55,3.09
vao,99.0,NC,1622321653.0,63.0,-22.6667,167.4833,68.49,20.4
ouallam,5.0,NE,1622321653.0,12.0,14.3188,2.0866,91.04,4.5
kaitangata,100.0,NZ,1622321653.0,93.0,-46.2817,169.8464,49.24,10.92
trairi,58.0,BR,1622321382.0,79.0,-3.2778,-39.2689,79.65,9.35
shahr-e kord,0.0,IR,1622321654.0,32.0,32.3256,50.8644,53.37,4.61
were ilu,4.0,ET,1622321654.0,45.0,10.6,39.4333,53.55,5.82
fort frances,1.0,CA,1622321454.0,35.0,48.5999,-93.4003,68.22,3.0
camopi,94.0,GF,1622321654.0,97.0,3.1655,-52.3158,76.51,3.8
provideniya,5.0,RU,1622321437.0,45.0,64.3833,-173.3,45.25,11.14
jadu,21.0,LY,1622321655.0,58.0,31.953,12.0261,68.95,5.93
cap malheureux,14.0,MU,1622321655.0,90.0,-19.9842,57.6142,75.69,3.0
hasaki,99.0,JP,1622321397.0,85.0,35.7333,140.8333,66.6,8.28
sunrise manor,75.0,US,1622321656.0,10.0,36.2111,-115.0731,96.57,0.0
barentu,20.0,ER,1622321656.0,16.0,15.1139,37.5928,88.11,7.99
batemans bay,54.0,AU,1622321656.0,77.0,-35.7167,150.1833,50.92,7.52
farafangana,28.0,MG,1622321657.0,91.0,-22.8167,47.8333,68.5,8.28
saint-francois,0.0,FR,1622321657.0,60.0,46.4154,3.9054,60.67,5.75
brae,3.0,GB,1622321657.0,87.0,60.3964,-1.353,44.51,1.97
qasigiannguit,59.0,GL,1622321658.0,33.0,68.8193,-51.1922,50.67,15.95
